date,net_return,cumulative
1987-01-01,-0.000833,0.999167
1987-04-01,-0.002833069456627764,0.9963362904902296
1987-05-01,-0.0018880556244676254,0.9944551521531084
1987-06-01,-0.0020330880385096587,0.9924333372784316
1987-07-01,-0.0020138291550763883,0.9904347460893506
1987-09-01,-0.0032521679308980286,0.9872136859704717
1987-10-01,-0.0008330101978922501,0.9863913269025594
1987-12-01,-0.0036330015877600263,0.9828077656457697
1988-01-01,-0.001623035861924188,0.981212633396749
1988-02-01,-0.0024652563987694934,0.9787936926737142
1988-03-01,-0.0018010585355836186,0.9770308279389488
1988-04-01,-0.0008330348582827836,0.9762169272016588
1988-06-01,-0.0008880519785844677,0.9753499958279297
1988-07-01,-0.002033008468995857,0.9733671010261764
1988-08-01,-0.002427583322638359,0.9710041712849204
1988-09-01,-0.0020329542433684565,0.9690301642345783
1988-11-01,-0.004027601767031645,0.9651272966328002
1988-12-01,-0.0026367329310907814,0.9625825137070738
1989-02-01,-0.004432999915747148,0.9583153855049107
1989-03-01,-0.0020330076887486613,0.956367122957933
1989-05-01,-0.002032998509817232,0.9544228300221214
1989-06-01,-0.001633001388765915,0.9528642562152254
1989-08-01,-0.0028329996176297153,0.9501647921417147
1989-09-01,-0.0008330968279665402,0.949373212867336
1989-11-01,-0.002316741138975197,0.9471737608888452
1989-12-01,-0.0016463099481530592,0.9456144193036643
1990-01-01,-0.00243144030165168,0.9433152142947464
1990-02-01,-0.001286604359567546,0.9421015408275885
1990-03-01,-0.0030107932624730657,0.9392650678558992
1990-05-01,-0.0032329234764385253,0.9362284957674293
1990-06-01,-0.0025894646600802184,0.9338041651638794
1990-08-01,-0.0014777275697351135,0.9324242570042833
1990-10-01,-0.0029739711228104196,0.9296512541897447
1990-11-01,-0.0012694333696094378,0.9284711238655771
1991-01-01,-0.0032715181806012906,0.9254336137036875
1991-02-01,-0.0020036681864500955,0.9235793518132378
1991-03-01,-0.002363919495190934,0.9213960845781307
1991-04-01,-0.0020337659650581765,0.9195221805809778
1991-05-01,-0.0022681185317800718,0.9174365952828192
1991-07-01,-0.0022618242796857745,0.9153615149165363
1991-08-01,-0.002033000112967663,0.9135005848533047
1991-10-01,-0.002032997037019881,0.9116434408709819
1991-11-01,-0.0008330249802695086,0.9108840191116375
1992-01-01,-0.002033010589558319,0.9090321822549241
1992-04-01,-0.002033011048869134,0.9071841097846223
1992-05-01,-0.004432999702386253,0.9031625628959375
1992-06-01,-0.003232999645368149,0.9002426386503852
1992-07-01,-0.0008339595053519539,0.8994918727447596
1992-09-01,-0.003232993707645534,0.8965838211800975
1992-10-01,-0.0020295392776167533,0.8947641690993368
1992-12-01,-0.0020329976517156545,0.8929451156447186
1993-02-01,-0.0036330006363038095,0.889701045471397
1993-03-01,-0.0024336752817448962,0.8875358020288906
1993-04-01,-0.002433667692920832,0.8853758348211823
1993-06-01,-0.003632909949190565,0.8821593441420876
1993-07-01,-0.004832998063673202,0.8778958697399977
1993-09-01,-0.0036329993740183393,0.874706474594779
1993-10-01,-0.0016440251882299506,0.8732684351182374
1993-11-01,-0.0010894183173116598,0.8723170804890894
1993-12-01,-0.0020330004354945025,0.8705436594845658
1994-02-01,-0.004432999520132337,0.8666845398598165
1994-03-01,-0.0032329999386455197,0.8638825487956246
1994-04-01,-0.001233011428624151,0.8628173717399706
1994-06-01,-0.0008330113778350989,0.8620986350523174
1994-07-01,-0.002209886739124361,0.8601934947108981
1994-08-01,-0.0008502327195237845,0.8594621300565735
1994-09-01,-0.0020415893961369448,0.8577074612854687
1994-11-01,-0.0020843641690790633,0.8559196865856135
1994-12-01,-0.002033010294911333,0.8541795930511676
1995-02-01,-0.003232925557426136,0.8514180940141607
1995-03-01,-0.002860597354015268,0.8489825296672631
1995-05-01,-0.003183641749420828,0.8462796734412854
1995-06-01,-0.002433315742861481,0.8442204077890371
1995-08-01,-0.001233000132035142,0.8431794839147665
1995-09-01,-0.001232999599743313,0.8421398439485878
1996-10-01,-0.002833000685102029,0.8397540611937296
1996-11-01,-0.002033000468814686,0.8380468407936337
1997-04-01,-0.002033002199771164,0.8363430897227889
1997-05-01,-0.0012584538672023732,0.8352905905272193
1997-07-01,-0.002032999935881143,0.8335924448102354
2000-06-01,-0.002832999998283769,0.8312308774155186
2000-08-01,-0.0015533701394853518,0.8299396681915232
2000-09-01,-0.0008489493035720866,0.8292350914882052
2000-11-01,-0.001432999621504011,0.8280467979159647
2000-12-01,-0.0012080865589895531,0.8270464457091881
2001-02-01,-0.0017407589545530154,0.8256067572029885
2001-03-01,-0.0015080797763039127,0.8243616763492707
2001-05-01,-0.0009135811929838085,0.8236085550255414
2001-06-01,-0.002032941297457909,0.8219342071810903
2001-08-01,-0.0030328370702540066,0.8194414146482417
2001-10-01,-0.0013136077803067513,0.8183649900304543
2001-11-01,-0.0020317889445863237,0.8167022450910739
2002-02-01,-0.0016317468332978425,0.8153695937888994
2002-03-01,-0.0008330912971987441,0.8146903164763134
2002-04-01,-0.0008333350419131025,0.8140114064872864
2002-05-01,-0.0014329756697664246,0.8128449479468778
2002-07-01,-0.0008330271089077256,0.8121678260698993
2002-08-01,-0.002487608878328299,0.8101474701750753
2002-10-01,-0.0013918271961620389,0.8090198848931838
2002-11-01,-0.0021054603733219957,0.8073165255843117
2003-04-01,-0.0014331080114189866,0.8061595538037459
2003-05-01,-0.0013650801154022221,0.8050590814270069
2003-07-01,-0.0017643535350645736,0.8036386725907553
2003-08-01,-0.0020335325364806674,0.8020044472024679
2003-09-01,-0.001594909279036866,0.8007253228677959
