date,return
2019-05-01,-0.002957720687222583
2019-07-01,-0.0036393835004508404
2019-08-01,-0.0031103123678358113
2019-10-01,-0.003376762631635522
2019-11-01,-0.003694403094611742
2020-01-01,-0.0033778943186346666
2020-04-01,-0.002600441852671486
2020-05-01,0.0006813910691105843
2020-06-01,-0.003448743758598224
2020-07-01,-0.003697968726602391
2020-09-01,-0.0016406082646917056
2020-10-01,-0.0021029916773107806
2020-12-01,-0.0006449365106871384
2021-01-01,-0.0023839819687267497
2021-02-01,-0.0017540383251643799
2021-03-01,-0.0010671354843476868
2021-04-01,0.0002715496770343777
2021-06-01,-0.0026209418816032747
2021-07-01,-0.0017988774284044317
2021-09-01,-0.0010657067513525817
2021-10-01,-0.0012988823227558168
2021-11-01,-0.0038865335664114648
2021-12-01,-0.003507586402889968
2022-02-01,0.00030149482229501585
2022-03-01,-0.0019254398612556897
2022-04-01,-0.0024195684489316327
2022-06-01,-0.0019345949523429718
2022-07-01,-0.002841535277008593
2022-08-01,-0.003241293279737832
2022-09-01,-0.004560777569744101
2022-11-01,-0.003083288184382661
2022-12-01,-0.002342180008743783
2023-02-01,-0.0017335639222762751
2023-03-01,-0.003276483724677704
2023-05-01,-0.003930419133910866
2023-06-01,-0.0033345325059929423
2023-08-01,-0.0016359580698243263
2023-09-01,-0.003130297954339916
2023-11-01,-0.0026387427686051733
2023-12-01,-0.0039018143775787235
2024-01-01,-0.004671207935231984
2024-02-01,-0.003949374685711115
2024-03-01,-0.001635638582222728
2024-04-01,-0.005189676274555218
